"","tube.no","pot.no","intercept","intercept.pvalue","slope","slope.pvalue","adj.R2"
"208","Q_263","Q_263","-2.31214715037266","7.27683044617967e-08","0.275188921403878","1.0462995105506e-07","0.983553572373449"
"209","Q_253","Q_264","-2.57613945442845","9.57353538908765e-09","0.298607984023458","1.65741213866598e-08","0.990278742877701"
"210","Q_265","Q_265","-2.64470307003028","3.16278659364688e-07","0.304148273304719","5.74149300691714e-07","0.973277386411508"
"211","Q_266","Q_266","-2.78641266166285","NaN","0.291455676021352","NaN","NaN"
"212","Q_267","Q_267","-2.90424291899479","5.43636853410209e-07","0.293073455176694","2.3977648215109e-06","0.959851991401755"
"213","Q_269","Q_269","-2.51130859521874","2.93815181610934e-06","0.271369804070907","5.01970616232976e-06","0.970656644158418"
"214","Q_270","Q_270","-2.38207299594565","5.00939177508346e-07","0.27637841087589","8.54636216258151e-07","0.970070487916492"
"215","Q_271","Q_271","-2.72593999201187","NaN","0.317994383359998","NaN","NaN"
"216","Q_273","Q_273","-2.56101198028308","0.0395260501910972","0.289650760800626","0.117511614353242","0.932625857413124"
"217","Q_275","Q_275","-2.43480270084284","NaN","0.263245870255195","NaN","NaN"
"218","Q_276","Q_276","-2.0289939089679","0.0485333648842605","0.19043942878913","0.171699098443026","0.858012577871375"
"219","Q_279","Q_279","-2.35401190937465","1.12083347726512e-06","0.274739122440661","1.8314751650309e-06","0.962815441034009"
"220","Q_280","Q_280","-2.49464521239319","NaN","0.357574557876715","NaN","NaN"
"221","Q_281","Q_281","-2.40196169211418","7.76497478326692e-08","0.247855256309704","2.98656382580498e-07","0.977819397096723"
"222","Q_282","Q_282","-2.47440980686549","0.0196053502011656","0.270204240211632","0.0608192805451837","0.981801706994029"
"223","Q_286","Q_283","-2.14978175819188","NaN","0.147301257648177","NaN","NaN"
"224","Q_284","Q_284","-2.77432249645328","1.40918202499692e-09","0.231271547635332","2.42104554510696e-08","0.989168318365291"
"225","","Q_286","-2.41225206796824","7.15163762394557e-08","0.289374851662355","9.73807637751499e-08","0.983886998694012"
"226","Q_287","Q_287","-2.15527434095988","1.56548798859761e-08","0.224674640265489","5.65191555888128e-08","0.986203545942995"
"227","Q_288","Q_288","-3.04236371789075","3.4063204684846e-07","0.309133561191481","1.44047425905703e-06","0.965272743045815"
