transcript_ID,module
BraA01g010820.3C,none
BraA01g010830.3C,midnightblue
BraA01g010860.3C,none
BraA01g010870.3C,none
BraA01g010910.3C,none
BraA01g010920.3C,none
BraA01g010940.3C,none
BraA01g010960.3C,none
BraA01g010970.3C,none
BraA01g010990.3C,blue
BraA01g011000.3C,blue
BraA01g011020.3C,blue
BraA01g011030.3C,brown
BraA01g011040.3C,none
BraA01g011080.3C,cyan
BraA01g011090.3C,yellow
BraA01g011100.3C,none
BraA01g011110.3C,none
BraA01g011120.3C,midnightblue
BraA01g011150.3C,none
BraA01g011190.3C,green
BraA01g011200.3C,grey
BraA01g011210.3C,none
BraA01g011220.3C,green
BraA01g011260.3C,none
BraA01g011270.3C,none
BraA01g011280.3C,none
BraA01g011290.3C,grey
BraA01g011300.3C,none
BraA01g011340.3C,none
BraA01g011350.3C,none
BraA01g011360.3C,none
BraA01g011370.3C,none
BraA01g011380.3C,blue
BraA01g011390.3C,none
BraA01g011400.3C,none
BraA01g011410.3C,none
BraA01g011440.3C,red
BraA01g011450.3C,none
BraA01g011460.3C,none
BraA01g011480.3C,lightyellow
BraA01g011490.3C,none
BraA01g011500.3C,none
BraA01g011510.3C,magenta
BraA01g011580.3C,red
BraA01g011600.3C,red
BraA01g011610.3C,none
BraA01g011620.3C,none
BraA01g011630.3C,greenyellow
BraA01g011640.3C,none
BraA01g011650.3C,darkgrey
BraA01g011660.3C,turquoise
BraA01g011680.3C,cyan
BraA01g011710.3C,grey
BraA01g011820.3C,none
BraA01g011830.3C,none
BraA01g011850.3C,none
BraA01g011870.3C,greenyellow
BraA01g011880.3C,none
BraA01g011890.3C,tan
BraA01g011920.3C,none
BraA01g011940.3C,grey
BraA01g011950.3C,none
BraA01g011960.3C,green
BraA01g011970.3C,grey60
BraA01g012020.3C,grey
BraA01g012040.3C,none
BraA01g012050.3C,grey
BraA01g012090.3C,none
BraA01g012110.3C,greenyellow
BraA01g012120.3C,black
BraA01g012140.3C,none
BraA01g012170.3C,none
BraA01g012180.3C,none
BraA01g012220.3C,red
BraA01g012230.3C,none
BraA01g012240.3C,grey
BraA01g012250.3C,brown
BraA01g012260.3C,yellow
BraA01g012270.3C,magenta
BraA01g012290.3C,none
BraA01g012300.3C,none
BraA01g012320.3C,turquoise
BraA01g012350.3C,none
BraA01g012370.3C,red
BraA01g012380.3C,none
BraA01g012410.3C,none
BraA01g012420.3C,grey
BraA01g012500.3C,magenta
BraA01g012530.3C,none
BraA01g012540.3C,tan
BraA01g012550.3C,none
BraA01g012570.3C,cyan
BraA01g012580.3C,magenta
BraA01g012630.3C,none
BraA01g012670.3C,pink
BraA01g012680.3C,none
BraA01g012690.3C,red
BraA01g012700.3C,none
BraA01g012710.3C,none
BraA01g012720.3C,none
BraA01g012730.3C,turquoise
BraA01g012740.3C,turquoise
BraA01g012750.3C,blue
BraA01g012760.3C,none
BraA01g012800.3C,none
BraA01g012810.3C,turquoise
BraA01g012820.3C,none
BraA01g012830.3C,brown
BraA01g012880.3C,turquoise
BraA01g012900.3C,none
BraA01g012910.3C,green
BraA01g012930.3C,green
BraA01g012960.3C,tan
BraA01g012970.3C,brown
BraA01g013010.3C,none
BraA01g013020.3C,none
BraA01g013030.3C,red
BraA01g013040.3C,yellow
BraA01g013050.3C,grey
BraA01g013070.3C,none
BraA01g013080.3C,none
BraA01g013110.3C,none
BraA01g013160.3C,none
BraA01g013170.3C,none
BraA01g013180.3C,grey
