target_id	length	eff_length	est_counts	tpm
BraA01g004150.3C	1488	1239	456.691	40.0008
BraA01g004160.3C	1356	1107	20	1.96065
BraA01g004170.3C	2622	2373	13.8601	0.633849
BraA01g004180.3C	1440	1191	22	2.0046
BraA01g004190.3C	2355	2106	882.268	45.4632
BraA01g004200.3C	3336	3087	316	11.1088
BraA01g004210.3C	3321	3072	33	1.16576
BraA01g004220.3C	1383	1134	48	4.59352
BraA01g004230.3C	1320	1071	602	60.9992
BraA01g004240.3C	600	351	55	17.0049
BraA01g004250.3C	2085	1836	1	0.0591078
BraA01g004260.3C	198	19.4	0	0
BraA01g004270.3C	1089	840	15	1.93789
BraA01g004280.3C	1365	1116	151	14.6835
BraA01g004290.3C	711	462	6	1.40938
BraA01g004300.3C	540	291	319.289	119.071
BraA01g004310.3C	1044	795	65	8.87286
BraA01g004320.3C	1206	957	2	0.226796
BraA01g004330.3C	471	222	1	0.488837
BraA01g004340.3C	378	129.092	0	0
BraA01g004350.3C	1881	1632	11	0.731459
BraA01g004360.3C	1137	888	175	21.3866
BraA01g004370.3C	246	31.1774	0	0
BraA01g004380.3C	2064	1815	39	2.33188
BraA01g004390.3C	963	714	517.472	78.6514
BraA01g004400.3C	519	270	20	8.03866
BraA01g004410.3C	525	276	164	64.484
BraA01g004420.3C	393	144.026	0	0
BraA01g004430.3C	1275	1026	137	14.4907
BraA01g004440.3C	765	516	150	31.5471
BraA01g004450.3C	1377	1128	70	6.73451
BraA01g004460.3C	249	32.2352	0	0
BraA01g004470.3C	2424	2175	174	8.68175
BraA01g004480.3C	288	51.0677	25	53.1265
BraA01g004490.3C	585	336	9	2.90684
BraA01g004500.3C	2382	2133	14	0.712286
BraA01g004510.3C	453	204	0	0
BraA01g004520.3C	1839	1590	176	12.0125
BraA01g004530.3C	2571	2322	266	12.4319
BraA01g004540.3C	2823	2574	110	4.63769
BraA01g004550.3C	1518	1269	126	10.7752
BraA01g004560.3C	2325	2076	14	0.731843
BraA01g004570.3C	1068	819	44	5.83024
BraA01g004580.3C	1284	1035	109	11.4289
BraA01g004590.3C	945	696	161	25.1035
BraA01g004600.3C	1554	1305	2	0.166317
BraA01g004610.3C	1542	1293	69	5.79119
BraA01g004620.3C	1425	1176	13	1.19965
BraA01g004630.3C	1851	1602	1641.8	111.218
BraA01g004640.3C	801	552	37	7.27411
BraA01g004650.3C	1119	870	30	3.74213
BraA01g004660.3C	1923	1674	129	8.3628
BraA01g004670.3C	3486	3237	537	18.0032
BraA01g004680.3C	804	555	30	5.86605
BraA01g004690.3C	1578	1329	30	2.4497
BraA01g004700.3C	2424	2175	12	0.598741
BraA01g004710.3C	1377	1128	635.376	61.1278
BraA01g004720.3C	687	438	117.218	29.0427
BraA01g004730.3C	5190	4941	194	4.26093
BraA01g004740.3C	1521	1272	12	1.02379
BraA01g004750.3C	2904	2655	160	6.53993
BraA01g004760.3C	4647	4398	124	3.05974
BraA01g004770.3C	927	678	146	23.369
BraA01g004780.3C	2718	2469	13	0.571399
BraA01g004790.3C	1227	978	5	0.554815
BraA01g004800.3C	3180	2931	117	4.33199
BraA01g004810.3C	189	17.9759	0	0
BraA01g004820.3C	186	17.5397	0	0
BraA01g004830.3C	186	17.5397	0	0
BraA01g004840.3C	186	17.5397	0	0
BraA01g004850.3C	1020	771	65	9.14906
BraA01g004860.3C	678	429	31	7.84191
BraA01g004870.3C	1023	774	0	0
BraA01g004880.3C	1917	1668	0	0
BraA01g004890.3C	1068	819	32	4.24017
BraA01g004900.3C	255	34.499	9	28.3108
BraA01g004910.3C	2625	2376	844	38.549
